name,date,Green,Red,NIR,SWIR,
13,2015/10/18,0.099075276,0.134758961,0.198098453,0.215216959,
13,2015/10/19,0.752930682,0.754094609,0.72844501,0.332363569,
13,2015/10/20,0.113899892,0.143260091,0.187858813,0.173510866,
13,2015/10/21,0.152309124,0.201634516,0.291702116,0.259721057,
13,2015/10/22,0.100198353,0.137365975,0.197430651,0.209568159,
13,2015/10/23,1.016629152,1.006974885,0.974864165,0.389643457,
13,2015/10/24,0.739678374,0.739982733,0.710636941,0.199431995,
13,2015/10/25,0.142762969,0.147907376,0.175504466,0.178526156,
13,2015/10/26,0.088406045,0.117586679,0.192533432,0.200250279,
13,2015/10/27,0.104578353,0.144393575,0.219022934,0.215216959,
13,2015/10/28,0.755289143,0.755341441,0.715756761,0.203233057,
13,2015/10/29,0.084419121,0.117076611,0.182460743,0.199220825,
13,2015/10/30,0.11592,0.1508175,0.196935,0.2450325,
13,2015/10/31,0.170615278,0.191376486,0.247849746,0.219150002,
13,2015/11/1,0.46542298,0.469363433,0.475459129,0.260460152,
13,2015/11/2,0.518151443,0.526717722,0.526879928,0.257688545,
13,2015/11/3,0.156576816,0.167743345,0.219245535,0.138826178,
13,2015/11/4,0.291739128,0.308068662,0.344458521,0.220575401,
13,2015/11/5,0.409718363,0.408835388,0.398773131,0.199009655,
13,2015/11/6,0.702167603,0.70943534,0.666784571,0.193308062,
13,2015/11/7,0.064484505,0.089419602,0.145119448,0.178790118,
13,2015/11/8,0.1492225,0.16290375,0.21776625,0.246655,
13,2015/11/9,0.079028352,0.102794713,0.162649266,0.187157733,
13,2015/11/10,0.09812066,0.127731361,0.204053026,0.202441169,
13,2015/11/11,0.091269891,0.119003534,0.187914464,0.197874616,
13,2015/11/12,0.23193528,0.241193107,0.272502792,0.216114432,
13,2015/11/13,0.708456834,0.716236244,0.677246811,0.227887165,
13,2015/11/14,0.384673747,0.383672044,0.379184255,0.26492112,
13,2015/11/15,0.4888475,0.4941825,0.4984725,0.4209775,
13,2015/11/16,0.723562219,0.717993144,0.678971968,0.244200055,
13,2015/11/17,0.749056066,0.748087143,0.713697703,0.210254462,
13,2015/11/18,0.793024529,0.800340755,0.767901013,0.299421034,
13,2015/11/19,0.046683736,0.068903542,0.124306267,0.150572515,
13,2015/11/20,0.977209151,0.993033032,0.957723899,0.247209229,
13,2015/11/21,0.888149148,0.871976943,0.819043561,0.243936092,
13,2015/11/22,0.76618299,0.780391437,0.792665359,0.15978481,
13,2015/11/23,0.742486066,0.724737373,0.686484747,0.314942036,
13,2015/11/24,0.35452375,0.38048375,0.4124525,0.08939625,
13,2015/11/25,0.102107584,0.120760434,0.192310831,0.131382432,
13,2015/11/26,0.270344512,0.269530207,0.278902567,0.148223247,
13,2015/11/27,0.75641222,0.753414518,0.729112812,0.37317219,
13,2015/11/28,0.281238359,0.28063835,0.313628301,0.137928705,
13,2015/11/29,0.632087601,0.64221974,0.629276325,0.3681569,
13,2015/11/30,0.812566068,0.780901505,0.719874877,0.269646051,
13,2015/12/1,1.109,1.1072675,1.0200925,0.0413125,
13,2015/12/2,0.824021453,0.811788943,0.765062852,0.35664813,
13,2015/12/3,0.998098382,0.994846606,0.968074839,0.411869109,
13,2015/12/4,0.620407601,0.578064546,0.499945224,0.249426515,
13,2015/12/5,0.832893761,0.832645048,0.783761324,0.344241887,
13,2015/12/6,0.663196833,0.643126527,0.587316063,0.285536601,
13,2015/12/7,0.839632223,0.841486224,0.795002668,0.140251576,
13,2015/12/8,0.868158378,0.862569026,0.810584728,0.390593722,
13,2015/12/9,0.714970681,0.696513622,0.639961167,0.130062619,
13,2015/12/10,0.763319144,0.735562146,0.680251923,0.284850298,
13,2015/12/11,0.934532226,0.920603405,0.845755665,0.218701266,
13,2015/12/12,0.89780761,0.879344588,0.810139527,0.235911629,
13,2015/12/13,0.902861456,0.896346848,0.818598359,0.134286021,
13,2015/12/14,0.908701456,0.900370716,0.824441632,0.124149857,
13,2015/12/15,0.869955301,0.858375135,0.781312715,0.169868182,
13,2015/12/16,0.856590685,0.845340069,0.780756213,0.131171262,
13,2015/12/17,1.0844425,1.088045,0.9682825,0.12593,
13,2015/12/18,0.849178377,0.830321406,0.758830028,0.19367761,
13,2015/12/19,0.971144535,0.976710862,0.929119688,0.179740384,
13,2015/12/20,0.950872996,0.946276818,0.874860728,0.233694343,
13,2015/12/21,0.851087608,0.843073101,0.784651728,0.190114115,
13,2015/12/22,0.990517613,0.988612444,0.925168523,0.286143715,
13,2015/12/23,0.900839917,0.899293907,0.832177012,0.149437475,
13,2015/12/24,0.859847608,0.853387805,0.775636393,0.163321909,
13,2015/12/25,0.81930453,0.807821749,0.744360972,0.143419128,
13,2015/12/26,1.10458625,1.10645625,0.98815125,0.04046,
13,2015/12/27,0.856197608,0.845680114,0.773744285,0.179502817,
13,2015/12/28,0.89885,0.9152,0.8732,0.06625,
13,2015/12/29,0.851424531,0.852027625,0.774634689,0.161263001,
13,2015/12/30,0.370522977,0.330511645,0.258311987,0.098862238,
13,2015/12/31,0.870741455,0.864665971,0.812087284,0.151232421,
13,2016/1/1,0.534042982,0.509885485,0.445964514,0.124756971,
13,2016/1/2,0.70585,0.683795,0.5864725,0.0078175,
13,2016/1/3,0.802009145,0.801644262,0.742969716,0.125073726,
13,2016/1/4,0.916226072,0.915842773,0.864899339,0.422322029,
13,2016/1/5,0.756973759,0.750240763,0.68993506,0.263838874,
13,2016/1/6,1.037967614,1.060702025,1.008476896,0.206136645,
13,2016/1/7,0.82806453,0.821310209,0.768513165,0.370479771,
13,2016/1/8,0.78763376,0.770076733,0.716591514,0.191249154,
13,2016/1/9,0.921504534,0.918733157,0.868405303,0.211072746,
13,2016/1/10,0.966371458,0.961465503,0.902964087,0.219334776,
13,2016/1/11,1.0309825,1.0308175,0.95588,0.1315675,
13,2016/1/12,0.764835298,0.742193027,0.677246811,0.215164167,
13,2016/1/13,0.90145761,0.90014402,0.852433691,0.16931386,
